                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.2404,                 3.9305,                 1.2498,                0.49311,                0.35642,                0.34687,                 0.1222,                 2.2201,                 1.9239,                 1.2241,             0.00041638,             0.00041638,             0.00041638
                      2,                   2.09,                 1.7907,                 1.1962,                0.60171,                0.44105,                0.44694,                0.17018,                  2.139,                 1.7307,                 1.1952,             0.00042069,             0.00042069,             0.00042069
